2026-06-17 15:35:24,931 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,936 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,939 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,944 INFO Added job "send_morning_messages" to job store "default"
2026-06-17 15:35:24,945 INFO Added job "check_task_notifications" to job store "default"
2026-06-17 15:35:24,946 INFO Added job "check_reminders" to job store "default"
2026-06-17 15:35:24,947 INFO Scheduler started
2026-06-17 15:35:24,947 INFO Notification scheduler started (Asia/Tashkent timezone)
2026-06-17 15:35:24,948 INFO Bot ishga tushdi...
2026-06-17 15:35:24,949 INFO Start polling
2026-06-17 15:35:25,362 INFO Run polling for bot @Mars_F2_1985_bot id=8218372259 - 'dars_uchun'
2026-06-17 21:26:24,967 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:27:24 +05)" (scheduled at 2026-06-17 21:26:24.939426+05:00)
2026-06-17 21:26:24,972 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:27:24 +05)" executed successfully
2026-06-17 21:26:24,973 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:27:24 +05)" executed successfully
2026-06-17 21:27:24,946 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:28:24 +05)" (scheduled at 2026-06-17 21:27:24.936401+05:00)
2026-06-17 21:27:24,953 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:28:24 +05)" (scheduled at 2026-06-17 21:27:24.939426+05:00)
2026-06-17 21:27:24,961 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:28:24 +05)" executed successfully
2026-06-17 21:27:24,963 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:28:24 +05)" executed successfully
2026-06-17 21:28:24,949 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:29:24 +05)" (scheduled at 2026-06-17 21:28:24.936401+05:00)
2026-06-17 21:28:24,957 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:29:24 +05)" (scheduled at 2026-06-17 21:28:24.939426+05:00)
2026-06-17 21:28:24,963 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:29:24 +05)" executed successfully
2026-06-17 21:28:24,964 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:29:24 +05)" executed successfully
2026-06-17 21:29:24,951 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:30:24 +05)" (scheduled at 2026-06-17 21:29:24.936401+05:00)
2026-06-17 21:29:24,958 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:30:24 +05)" (scheduled at 2026-06-17 21:29:24.939426+05:00)
2026-06-17 21:29:24,964 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:30:24 +05)" executed successfully
2026-06-17 21:29:24,965 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:30:24 +05)" executed successfully
2026-06-17 21:30:24,940 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:31:24 +05)" (scheduled at 2026-06-17 21:30:24.936401+05:00)
2026-06-17 21:30:24,947 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:31:24 +05)" (scheduled at 2026-06-17 21:30:24.939426+05:00)
